
2018-07-10 17:23:23,127.0.0.1,lk3Vj-.1531214584.QL5-op,,,,/brands/10,SELECTS `c`.`id`; `c`.`name`; `c`.`icon`;(select count(*) FROM category WHERE main_cat=`c`.id)`subCat` FROM category as `c` WHERE `c`.ctl=0 AND `c`.main_cat=0 AND `c`.ctl<>2 ORDER BY `c`.sorted ASC
2018-07-10 17:23:23,127.0.0.1,lk3Vj-.1531214584.QL5-op,,,,/brands/10,SELECTS `id`;`name`;`icon` FROM category WHERE main_cat=1 AND ctl<>2 ORDER BY sorted ASC
2018-07-10 17:23:23,127.0.0.1,lk3Vj-.1531214584.QL5-op,,,,/brands/10,SELECTS `id`;`name`;`icon` FROM category WHERE main_cat=8 AND ctl<>2 ORDER BY sorted ASC
2018-07-10 17:23:24,127.0.0.1,lk3Vj-.1531214584.QL5-op,,,,/brands/10,SELECTS `id`;`name`;`icon` FROM category WHERE main_cat=9 AND ctl<>2 ORDER BY sorted ASC
2018-07-10 17:23:24,127.0.0.1,lk3Vj-.1531214584.QL5-op,,,,/brands/10,SELECTS `id`;`name`;`icon` FROM category WHERE main_cat=22 AND ctl<>2 ORDER BY sorted ASC
2018-07-10 17:23:24,127.0.0.1,lk3Vj-.1531214584.QL5-op,,,,/brands/10,SELECTS `p`.id;`p`.name;`p`.desc;`p`.price;`p`.image;`b`.name as `brand` FROM product as `p` LEFT JOIN brands as `b` ON `b`.id=`p`.brand WHERE `p`.cate=13 AND `p`.ctl<>2 ORDER BY `p`.modified DESC LIMIT 6
2018-07-10 17:23:24,127.0.0.1,lk3Vj-.1531214584.QL5-op,,,,/brands/10,SELECTS `p`.id;`p`.name;`p`.desc;`p`.price;`p`.image;`b`.name as `brand` FROM product as `p` LEFT JOIN brands as `b` ON `b`.id=`p`.brand WHERE `p`.cate=16 AND `p`.ctl<>2 ORDER BY `p`.modified DESC LIMIT 6
2018-07-10 17:23:24,127.0.0.1,lk3Vj-.1531214584.QL5-op,,,,/brands/10,SELECTS `p`.id;`p`.name;`p`.desc;`p`.price;`p`.image;`b`.name as `brand` FROM product as `p` LEFT JOIN brands as `b` ON `b`.id=`p`.brand WHERE `p`.cate=12 AND `p`.ctl<>2 ORDER BY `p`.modified DESC LIMIT 6
2018-07-10 17:23:24,127.0.0.1,lk3Vj-.1531214584.QL5-op,,,,/brands/10,SELECTS `p`.id;`p`.name;`p`.desc;`p`.price;`p`.image;`b`.name as `brand` FROM product as `p` LEFT JOIN brands as `b` ON `b`.id=`p`.brand WHERE `p`.cate=8 AND `p`.ctl<>2 ORDER BY `p`.modified DESC LIMIT 6
2018-07-10 17:23:24,127.0.0.1,lk3Vj-.1531214584.QL5-op,,,,/brands/10,SELECT df_content,content FROM text WHERE ctl=0 AND id=1 AND ctl<>2 LIMIT 30
2018-07-10 17:23:24,127.0.0.1,lk3Vj-.1531214584.QL5-op,,,,/brands/10,SELECT df_content,content FROM text WHERE ctl=0 AND id=2 AND ctl<>2 LIMIT 30
